subject,model,explo_overlap,trial,labelled,looking_time
40,LaF,0.75,1,label,32
40,LaF,0.75,2,no_label,31
40,LaF,0.75,2,label,30
40,LaF,0.75,3,no_label,29
40,LaF,0.75,3,label,28
40,LaF,0.75,4,no_label,27
40,LaF,0.75,4,label,26
40,LaF,0.75,5,no_label,25
40,LaF,0.75,5,label,24
40,LaF,0.75,6,no_label,23
40,LaF,0.75,6,label,22
40,LaF,0.75,7,no_label,21
40,LaF,0.75,7,label,20
-11,CR,0.375,0,label,34
-11,CR,0.375,0,no_label,30
-11,CR,0.375,1,label,31
-11,CR,0.375,1,no_label,28
-11,CR,0.375,2,label,30
-11,CR,0.375,2,no_label,27
-11,CR,0.375,3,label,28
-11,CR,0.375,3,no_label,26
-11,CR,0.375,4,label,27
-11,CR,0.375,4,no_label,24
-11,CR,0.375,5,label,25
-11,CR,0.375,5,no_label,23
-11,CR,0.375,6,label,24
-11,CR,0.375,6,no_label,22
-11,CR,0.375,7,label,23
-11,CR,0.375,7,no_label,20
-40,CR,0.75,0,no_label,33
-40,CR,0.75,0,label,33
-40,CR,0.75,1,no_label,30
-40,CR,0.75,1,label,32
-40,CR,0.75,2,no_label,29
-40,CR,0.75,2,label,30
-40,CR,0.75,3,no_label,27
-40,CR,0.75,3,label,29
-40,CR,0.75,4,no_label,25
-40,CR,0.75,4,label,27
-40,CR,0.75,5,no_label,24
-40,CR,0.75,5,label,25
-40,CR,0.75,6,no_label,22
-40,CR,0.75,6,label,23
-40,CR,0.75,7,no_label,21
-40,CR,0.75,7,label,21
-39,CR,0.75,0,label,41
-39,CR,0.75,0,no_label,34
-39,CR,0.75,1,label,38
-39,CR,0.75,1,no_label,32
-39,CR,0.75,2,label,35
-39,CR,0.75,2,no_label,29
-39,CR,0.75,3,label,32
-39,CR,0.75,3,no_label,27
-39,CR,0.75,4,label,29
-39,CR,0.75,4,no_label,25
-39,CR,0.75,5,label,26
-39,CR,0.75,5,no_label,22
-39,CR,0.75,6,label,24
-39,CR,0.75,6,no_label,20
-39,CR,0.75,7,label,21
-39,CR,0.75,7,no_label,18
-38,CR,0.75,0,no_label,37
-38,CR,0.75,0,label,32
-38,CR,0.75,1,no_label,32
-38,CR,0.75,1,label,31
-38,CR,0.75,2,no_label,30
-38,CR,0.75,2,label,29
-38,CR,0.75,3,no_label,28
-38,CR,0.75,3,label,27
-38,CR,0.75,4,no_label,27
-38,CR,0.75,4,label,26
-38,CR,0.75,5,no_label,25
-38,CR,0.75,5,label,24
