"subject","theory","step","dist_type","mu"
3,"LaF_ignore_missing",1200,"between",1.55004742189133
3,"LaF_ignore_missing",1200,"r_labelled",3
3,"LaF_ignore_missing",1200,"r_unlabelled",3
3,"LaF_ignore_missing",1300,"labelled",0.186584605782358
3,"LaF_ignore_missing",1300,"unlabelled",0.218987199963729
3,"LaF_ignore_missing",1300,"between",1.55803094845594
3,"LaF_ignore_missing",1300,"r_labelled",3
3,"LaF_ignore_missing",1300,"r_unlabelled",3
3,"LaF_ignore_missing",1400,"labelled",0.189012937983698
3,"LaF_ignore_missing",1400,"unlabelled",0.223289757790227
3,"LaF_ignore_missing",1400,"between",1.56305187004566
3,"LaF_ignore_missing",1400,"r_labelled",3
3,"LaF_ignore_missing",1400,"r_unlabelled",3
3,"LaF_ignore_missing",1500,"labelled",0.191722396394624
3,"LaF_ignore_missing",1500,"unlabelled",0.227732706808841
3,"LaF_ignore_missing",1500,"between",1.5660578827974
3,"LaF_ignore_missing",1500,"r_labelled",3
3,"LaF_ignore_missing",1500,"r_unlabelled",3
3,"LaF_ignore_missing",1600,"labelled",0.194671799754846
3,"LaF_ignore_missing",1600,"unlabelled",0.232325598666889
3,"LaF_ignore_missing",1600,"between",1.56770080420918
3,"LaF_ignore_missing",1600,"r_labelled",3
3,"LaF_ignore_missing",1600,"r_unlabelled",3
3,"LaF_ignore_missing",1700,"labelled",0.197832310450657
3,"LaF_ignore_missing",1700,"unlabelled",0.237069736737597
3,"LaF_ignore_missing",1700,"between",1.5684227763752
3,"LaF_ignore_missing",1700,"r_labelled",3
3,"LaF_ignore_missing",1700,"r_unlabelled",3
3,"LaF_ignore_missing",1800,"labelled",0.201183132639653
3,"LaF_ignore_missing",1800,"unlabelled",0.241962032411384
3,"LaF_ignore_missing",1800,"between",1.56852138157317
3,"LaF_ignore_missing",1800,"r_labelled",3
3,"LaF_ignore_missing",1800,"r_unlabelled",3
4,"LaF_treat_missing",0,"labelled",0.191915705410735
4,"LaF_treat_missing",0,"unlabelled",0.215003826397923
4,"LaF_treat_missing",0,"between",1.78168289793772
4,"LaF_treat_missing",0,"r_labelled",4
4,"LaF_treat_missing",0,"r_unlabelled",4
4,"LaF_treat_missing",100,"labelled",0.162944127749396
4,"LaF_treat_missing",100,"unlabelled",0.156499962778295
4,"LaF_treat_missing",100,"between",0.577926474067345
4,"LaF_treat_missing",100,"r_labelled",4
4,"LaF_treat_missing",100,"r_unlabelled",4
4,"LaF_treat_missing",200,"labelled",0.169056227381715
4,"LaF_treat_missing",200,"unlabelled",0.160075784960077
4,"LaF_treat_missing",200,"between",0.749898139800655
4,"LaF_treat_missing",200,"r_labelled",4
4,"LaF_treat_missing",200,"r_unlabelled",4
4,"LaF_treat_missing",300,"labelled",0.169902393316019
4,"LaF_treat_missing",300,"unlabelled",0.167198596014101
4,"LaF_treat_missing",300,"between",0.972378642617268
4,"LaF_treat_missing",300,"r_labelled",4
4,"LaF_treat_missing",300,"r_unlabelled",4
4,"LaF_treat_missing",400,"labelled",0.168882511878485
4,"LaF_treat_missing",400,"unlabelled",0.174969626075907
4,"LaF_treat_missing",400,"between",1.20156611162395
4,"LaF_treat_missing",400,"r_labelled",4
4,"LaF_treat_missing",400,"r_unlabelled",4
4,"LaF_treat_missing",500,"labelled",0.166384358764421
4,"LaF_treat_missing",500,"unlabelled",0.18169283924601
4,"LaF_treat_missing",500,"between",1.3980625002376
4,"LaF_treat_missing",500,"r_labelled",4
4,"LaF_treat_missing",500,"r_unlabelled",4
4,"LaF_treat_missing",600,"labelled",0.164044421949836
4,"LaF_treat_missing",600,"unlabelled",0.186677613445976
4,"LaF_treat_missing",600,"between",1.54412882830715
4,"LaF_treat_missing",600,"r_labelled",4
4,"LaF_treat_missing",600,"r_unlabelled",4
4,"LaF_treat_missing",700,"labelled",0.162728116331534
4,"LaF_treat_missing",700,"unlabelled",0.189959855803345
4,"LaF_treat_missing",700,"between",1.64228715356712
4,"LaF_treat_missing",700,"r_labelled",4
4,"LaF_treat_missing",700,"r_unlabelled",4
4,"LaF_treat_missing",800,"labelled",0.162555543998049
4,"LaF_treat_missing",800,"unlabelled",0.192078614190659
4,"LaF_treat_missing",800,"between",1.70385008709369
4,"LaF_treat_missing",800,"r_labelled",4
4,"LaF_treat_missing",800,"r_unlabelled",4
4,"LaF_treat_missing",900,"labelled",0.163331070172843
4,"LaF_treat_missing",900,"unlabelled",0.193719074693667
4,"LaF_treat_missing",900,"between",1.7406839494486
4,"LaF_treat_missing",900,"r_labelled",4
4,"LaF_treat_missing",900,"r_unlabelled",4
4,"LaF_treat_missing",1000,"labelled",0.164804492108735
4,"LaF_treat_missing",1000,"unlabelled",0.195279098627894
4,"LaF_treat_missing",1000,"between",1.76203424694077
4,"LaF_treat_missing",1000,"r_labelled",4
4,"LaF_treat_missing",1000,"r_unlabelled",4
4,"LaF_treat_missing",1100,"labelled",0.166766506778856
4,"LaF_treat_missing",1100,"unlabelled",0.196902187082431
4,"LaF_treat_missing",1100,"between",1.77407238333568
4,"LaF_treat_missing",1100,"r_labelled",4
4,"LaF_treat_missing",1100,"r_unlabelled",4
4,"LaF_treat_missing",1200,"labelled",0.169075409498121
4,"LaF_treat_missing",1200,"unlabelled",0.198630911589754
4,"LaF_treat_missing",1200,"between",1.78061119498098
4,"LaF_treat_missing",1200,"r_labelled",4
4,"LaF_treat_missing",1200,"r_unlabelled",4
4,"LaF_treat_missing",1300,"labelled",0.171642183932854
4,"LaF_treat_missing",1300,"unlabelled",0.200477044439536
4,"LaF_treat_missing",1300,"between",1.78392486324461
