"subject","theory","model","explo_overlap","trial","labelled","looking_time","experiment","fit"
681,"Labels as Features","DMN","0",6,"no_label",26,"Category",24.8940720013726
681,"Labels as Features","DMN","0",6,"label",29,"Category",27.2515611461942
681,"Labels as Features","DMN","0",7,"no_label",23,"Category",22.1545277054349
681,"Labels as Features","DMN","0",7,"label",26,"Category",24.7510556438411
683,"Compound Representations","DMN","0",0,"no_label",40,"Category",42.0332080726391
683,"Compound Representations","DMN","0",0,"label",40,"Category",42.0332080726391
683,"Compound Representations","DMN","0",1,"no_label",40,"Category",39.2936637767015
683,"Compound Representations","DMN","0",1,"label",40,"Category",39.5327025702861
683,"Compound Representations","DMN","0",2,"no_label",38,"Category",36.5541194807638
683,"Compound Representations","DMN","0",2,"label",40,"Category",37.032197067933
683,"Compound Representations","DMN","0",3,"no_label",35,"Category",33.8145751848261
683,"Compound Representations","DMN","0",3,"label",40,"Category",34.53169156558
683,"Compound Representations","DMN","0",4,"no_label",31,"Category",31.0750308888885
683,"Compound Representations","DMN","0",4,"label",39,"Category",32.0311860632269
683,"Compound Representations","DMN","0",5,"no_label",27,"Category",28.3354865929508
683,"Compound Representations","DMN","0",5,"label",34,"Category",29.5306805608739
683,"Compound Representations","DMN","0",6,"no_label",23,"Category",25.5959422970131
683,"Compound Representations","DMN","0",6,"label",28,"Category",27.0301750585208
683,"Compound Representations","DMN","0",7,"no_label",19,"Category",22.8563980010755
683,"Compound Representations","DMN","0",7,"label",23,"Category",24.5296695561678
685,"Labels as Features","DMN","0",0,"label",40,"Category",42.2545941603125
685,"Labels as Features","DMN","0",0,"no_label",40,"Category",41.3313377769986
685,"Labels as Features","DMN","0",1,"label",40,"Category",39.7540886579594
685,"Labels as Features","DMN","0",1,"no_label",40,"Category",38.5917934810609
685,"Labels as Features","DMN","0",2,"label",40,"Category",37.2535831556064
685,"Labels as Features","DMN","0",2,"no_label",40,"Category",35.8522491851233
685,"Labels as Features","DMN","0",3,"label",37,"Category",34.7530776532533
685,"Labels as Features","DMN","0",3,"no_label",40,"Category",33.1127048891856
685,"Labels as Features","DMN","0",4,"label",34,"Category",32.2525721509003
685,"Labels as Features","DMN","0",4,"no_label",37,"Category",30.3731605932479
685,"Labels as Features","DMN","0",5,"label",30,"Category",29.7520666485472
